Хайырлы базарлар!;Приятных покупок!
Мот урба бутиги;Бутик модной одежды
Къайтарув;Возврат
Къайтарылув;Возврат
Кефалет муддети;Гарантийный срок
Айванлар тюкяны;Зоомагазин
Киоск;Киоск
Тюкянчыкъ;Ларёк
Къулюбе;Ларёк
Тюкянчыкъ;Палатка
Къулюбе;Палатка
Сют тюкянчыгъы;Молочный ларек
Сют къулюбеси;Молочный ларек
Зарзават тюкянчыгъы;Овощной ларек
Зарзават къулюбеси;Овощной ларек
Лоток;Лоток
Ашайт тюкяны;Магазин продовольственный
Ходжалыкъ маллары тюкяны;Магазин хозяйственный
Токъума тюкяны;Магазин тканей
Урба тюкяны;Магазин одежды
Эт тюкяны;Магазин мясной
Балыкъ тюкяны;Магазин рыбный
Китап тюкяны;Магазин книжный
Аякъкъап тюкяны;Магазин обувной
Къуруджылыкъ тюкяны;Магазин строительный
Агъ тюкяны;Магазин сетевой
Пакет;Пакет
Торба;Пакет
Десте;Пачка
Алынгъан шейлер;Покупки
Тараба;Прилавок
Пештахта;Прилавок
Эндиримли сатыш;Распродажа
Эндирим;Скидка
Ярарлыкъ муддети;Срок годности
Фият;Стоимость
Супермаркет;Супермаркет
Базарлыкъ;Торг
Базарлыкъ этмек;Торговаться
Алыш-вериш;Торговля
Тиджарет;Торговля
Алыш-вериш ве эглендже меркези;Торговоразвлекательный центр
Алыш-вериш меркези;Торговый центр
Саргъыламакъ;Упаковать
Саргъылыкъ;Упаковка
Фият;Цена
Иш саатлары;Часы работы
Чек;Чек
Урба;Одежда
Фес ве миллий къушакъ къайда сатын алмакъ мумкюн?;Где можно приобрести феску и национальный пояс?
Бу анги курьк?;Какой это мех?
Бу табиий терими?;Это натуральная кожа?
Бу анги материалдан ясалгъан?;Из какого материала это сделано?
Манъа эки чифт памукъ чорап керек;Мне нужны две пары хлопчатобумажных носков
Манъа эки чифт юнь чорап керек;Мне нужны две пары шерстяных носков
Манъа бир чифт яз аякъкъабы керек;Мне нужна пара лёгкой летней обуви
Манъа кунеш козьлюги керек;Мне нужны солнцезащитные очки
Манъа миллий орьнекли ильванлар керек;Мне нужны украшения с национальным орнаментом
Акъайыма бир кольмек къыдырам;Я ищу рубашку для своего мужа
Урбасынынъ ольчюси – 48;Он носит 48-й размер
О, сантырач кольмеклерни бегенмей;Он не любит рубашки в клетку
Ёлакълы кольмеклер бармы?;У вас есть рубашки в полоску?
Сизде къара кроссовкалар сатыламы?;У вас продаются чёрные кроссовки?
Манъа къышлыкъ куртка керек;Мне нужна зимняя куртка
Манъа кузьлюк куртка керек;Мне нужна осенняя куртка
Манъа пуф куртка керек;Мне нужна пуховик
Бу куртка мот корюнмей;Эта куртка выглядит не модно
Мен даа алчакъ окче истейим;Я бы хотела каблук ниже
Бу ширкетнинъ къалыбы пек онъайтлы;У этой фирмы очень удобная колодка
Бол пичимли пальто;Пальто свободного кроя
Бели тар олгъан пальто;Пальто приталенное
Мен энъ бегенген фасонлы фистан;Юбка моего любимого фасона
Кийип бакъмакъ истейим;Я хотел бы примерить
Бу кийип бакъмакъ мумкюнми?;Можно примерить эти?
Кийип бакъув одасы къайда?;Где примерочная?
Менимдже, бу джинс манъа яраша;Мне нравится, как на мне сидят эти джинсы
Бу джинс сени лятиф косьтере;Эти джинсы тебя стройнят
Бу антер манъа тар ола;Это платье мне узко
Бу потюк манъа кучюк;Эти ботинки мне малы
Туфли мына бу ерде аягъымны сыкъа;Туфли жмут вот здесь
Штаннынъ бели тарлыкъ эте;Брюки жмут в талии
Кольмек къарардан зияде япышып тура;Блузка слишком облегает
Лютфен, бир ольчю буюгини берсенъиз;Дайте, пожалуйста, на размер больше
Бу манъа ярашмай;Это мне не идёт
Башкъа тюслюсини косьтерсенъиз;Покажите другого цвета
Даа къайсы тюслер бар?;Какие ещё есть цвета?
Бу фес сизге пек яраша;Вам очень идёт эта феска
Бу антерни алмакъ истейим;Хочу купить это платье
Эйиликнен кийинъиз!;Носите на здоровье!
Ятакъ чамашыры;Бельё
Ички кийим;Бельё
Потюк;Ботинки
Штан;Брюки
Боюнбагъ;Галстук
Баш кийими;Головной убор
Жекет;Жакет
Къапакълы къушакъ;Женский пояс
Шемсие;Зонт
Окче;Каблук
Килим;Ковёр
Макъат;Ковёр
Табиий тери;Натуральная кожа
Суньий тери;Искусственная кожа
Къыйыкъ;Косынка
Пичим;Крой
Куртка;Куртка
Мемелик;Лифчик
Ястыкъ устю;Наволочка
Памукъ чорап;Носки хлопчатобумажные
Юнь чорап;Носки шерстяные
Резина аякъкъап;Резиновая обувь
Тери аякъкъап;Кожаная обувь
Язлыкъ аякъкъап;Летняя обувь
Къышлыкъ аякъкъап;Зимняя обувь
Кийим;Одежда
Эркек урбасы;Одежда мужская
Къадын урбасы;Одежда женская
Бала урбасы;Одежда детская
Осьмюр урбасы;Одежда подростковая
Ёргъан;Одеяло
Къолчакълар;Перчатки
Биджакъ;Пиджак
Ярашыкълы антер;Платье нарядное
Акъшамлыкъ антер;Платье вечернее
Юнь антер;Платье шерстяное
Йипек антер;Платье шёлковое
Басма антер;Платье ситцевое
Ягъмурлыкъ;Плащ
Ёргъан чаршаф;Пододеяльник
Силеджек;Полотенце
Чаршаф;Простыня
Къушакъ;Ремень
Кольмек;Рубашка
Чызма;Сапоги
Сыргъа;Серьги
Купе;Серьги
Спорт аякъкъабы;Спортивная обувь
Спорт урбасы;Спортивная одежда
Чанта;Сумка
Софра орьтюси;Скатерть
Токъума;Ткань
Трусик;Трусы
Окчели туфли;Туфли на каблуке
Ялпакъ тюплю туфли;Туфли на плоской подошве
Ачыкъ бурунлы туфли;Туфли с открытым мысом
Къапалы туфли;Туфли закрытые
Такъие;Тюбетейка
Фасон;Фасон
Бурнуз;Халат
Джемидан;Чемодан
Къалпакъ;Шапка
Терликлер;Шлёпанцы
Тон;Шуба
Урба чёткюси;Щётка для одежды
Фистан;Юбка
Этек;Юбка
Китаплар, язув маллары, музыка;Книги, канцтовары, музыка
Хайырлав варакъалары бармы?;У вас есть поздравительные открытки?
Шеэр манзарасыны косьтерген бир варакъа бармы?;У вас есть открытка с видом города?
Къырымтатар тилинде эглендириджи бир китап бармы?;У вас есть какаянибудь развлекательная книжка на крымскотатарском?
Сизде лугъатлар сатыламы?;Продаются ли у вас словари?
«Арманчыкъ» меджмуасынынъ сонъки саны бармы?;У вас есть последний номер журнала «Арманчыкъ»?
«Къырым» ансамблининъ дисклерини алмакъ истейим;Я хочу купить диски ансамбля «Къырым»
Бу шеэр хатырасы олсун деп бир сувенир алмакъ истейим;Я хотел бы купить сувенир на память об этом городе
Манъа Къырым ёлларынынъ тафсилятлы харитасы керек;Мне нужна подробная карта дорог Крыма
Келеджек йылгъа къопарма такъвим алмакъ истейим;Я хочу купить отрывной календарь на следующий год
Манъа къайдлар ичюн блокнот керек;Мне нужен блокнот для заметок
Бу китапта ресимлер пек чокъ;В этой книге очень много иллюстраций
Бир къуту ренкли къарандаш алдым;Купил набор цветных карандашей
Бу китапларны «Терджиман» тюкянында алдым;Я купил эти книги в магазине «Терджиман»
Дерслик алмагъа китап базарына барырмыз;Мы поедем за учебниками на книжный рынок
Муэллиф;Автор
Альбом;Альбом
Блокнот;Блокнот
Бала китаплары;Детские книги
Ресимли китап;Иллюстрированная книга
Къарандаш;Карандаш
Китап;Книга
Къап;Обложка
Джылт;Обложка
Варакъа;Открытка
Джылт;Переплёт
Шиириет;Поэзия
Назым;Поэзия
Несир;Проза
Несирджи;Прозаик
Къалем;Ручка
Шиир;Стихотворение
Нусха;Экземпляр
Ашайт маллары;Продукты
Бу къанфетнинъ ичинде не бар?;Какая начинка у этих конфет?
Тазе отьмек не вакъыт кетиреджеклер?;Когда привезут свежий хлеб?
Сизде тазе балыкъ оламы?;Бывает ли у вас свежая рыба?
Сют бугунькими?;Молоко сегодняшнее?
Бу эрикнинъ джынсы недир?;Какого сорта эти сливы?
Киразынъыз татлымы?;Ваша черешня сладкая?
Ашап бакъайыммы?;Можно попробовать?
Бу данелеп сатыламы, я да чекинеми?;Это продаётся поштучно или на вес?
Мен озюм сайлап алырым;Я выберу сам
Манъа эки кило беринъиз;Взвесьте мне два килограмма
Мен эки кило алдым;Я купил два килограмма
Эки пакет сют ал;Возьми два пакета молока
Биз эр вакъыт къашкъавал алгъан сатыджы;Продавщица, у которой мы всегда берём сыр
Бу ёгъуртнынъ ярарлыкъ муддети кечти;У этого йогурта вышел срок годности
Къайсы;Абрикос
Портакъал;Апельсин
Къарпыз;Арбуз
Фесильген;Базилик
Къой эти;Баранина
Пенир;Брынза
Отьмечик;Булочка
Отьмек тюкяны;Булочная
Татлы;Варенье
Беяз юзюм;Виноград белый
Къара юзюм;Виноград чёрный
Чегирдекли юзюм;Виноград с косточкой
Чегирдексиз юзюм;Виноград без косточки
Кишмиш юзюм;Виноград киш-миш
Вишне;Вишня
Тувар эти;Говядина
Хардал;Горчица
Армут;Груша
Мая;Дрожжи
Къавун;Дыня
Бузлатылгъан зарзават;Замороженные овощи
Юзюм къурусы;Изюм
Зенджефиль;Имбирь
Сакъыз къабакъ эзмеси;Икра кабачковая
Патылджан эзмеси;Икра баклажанная
Къырмызы хавъяр;Икра красная
Къара хавъяр;Икра чёрная
Мусюр;Индейка
Мусюр эти;Индюшатина
Ёгъурт;Йогурт
Къартоп;Картофель
Джилек;Клубника
Колбас;Колбаса
Суджукъ;Колбаса
Шекерлеме тюкяны;Кондитерская
Къанфет;Конфеты
Тарджын;Корица
Ем;Корм
Мышыкъ еми;Корм для котов
Копек еми;Корм для собак
Къоян еми;Корм для кроликов
Чекильген къаве;Кофе молотый
Бурьтюк къаве;Кофе в зёрнах
Иритилир къаве;Кофе растворимый
Мысырбогъдай;Кукуруза
Тавукъ;Курица
Тавукъ эти;Курятина
Курьпе;Крупа
Къарабогъдай курьпеси;Гречневая крупа
Ирмик курьпеси;Манная крупа
Пирнич курьпеси;Рисовая крупа
Мысырбогъдай курьпеси;Кукурузная крупа
Джылап курьпеси;Овсяная крупа
Дефне япрагъы;Лавровый лист
Лакъша;Лапша
Согъан;Лук
Ешиль согъан;Лук зелёный
Согъан;Луковица
Макъарне;Макароны
Сары ягъ;Масло сливочное
Арытылгъан ягъ;Масло рафинированное
Арытылмагъан ягъ;Масло нерафинированное
Куньайлан ягъы;Подсолнечное масло
Осюмлик ягъы;Растительное масло
Зейтюн ягъы;Оливковое масло
Памукъ ягъы;Хлопковое масло
Кетен ягъы;Льняное масло
Бал;Мёд
Сют;Молоко
Хавуч;Морковь
Дондурма;Мороженое
Бузкъаймакъ;Мороженое
Ун;Мука
Эт;Мясо
Нохут;Нут
Зарзават;Овощи
Хыяр;Огурцы
Зейтюн;Оливки
Кепек;Отруби
Бакълава;Пахлава
Къара бибер;Чёрный перец
Аджджы бибер;Горький перец
Татлы бибер;Сладкий перец
Чекильген бибер;Молотый перец
Шефтали;Персики
Магъданоз;Петрушка
Печенье;Печенье
Къурабие;Печенье
Памидор;Помидоры
Тары;Просо
Муддети кечкен;Просроченный
Айлыкъ туруп;Редис
Тазе балыкъ;Свежая рыба
Тузлу балыкъ;Солёная рыба
Исли балыкъ;Копчёная рыба
Бузлатылгъан балыкъ;Мороженая рыба
Шекер;Сахар
Чюкюндир;Свёкла
Домуз эти;Свинина
Эрик;Слива
Къаймакъ;Сливки
Экши къаймакъ;Сметана
Туз;Соль
Бахарат;Специи
Серник;Спички
Пексимет;Сухари
Къуру емиш;Сухофрукты
Къашкъавал;Сыр
Иримчик;Творог
Тана эти;Телятина
Кимьён;Тмин
Чёрек оту;Тмин
Зере;Тмин
Памидор эзмеси;Томатная паста
Къабакъ;Тыква
Таракъот;Укроп
Сирке;Уксус
Эльва;Халва
Отьмек;Хлеб
Кираз;Черешня
Мерджимек;Чечевица
Сафран;Шафран
Алма;Яблоки
Йымырта;Яйцо
Ходжалыкъ маллары;Хозтовары
Устра;Бритва
Кягъыт явлыкълар;Бумажные платочки
Памукъ дисклер;Ватные диски
Памукълы таячыкълар;Ватные палочки
Къопкъа;Ведро
Сипирки;Веник
Дымлы ягъбезлер;Влажные салфетки
Тыраш гели;Гель для бритья
Душ гели;Гель для душа
Гигиеник аракъатлар;Гигиенические прокладки
Сюнгер;Губка
Чанакъ-чёльмек сюнгери;Губка для посуды
Аякъкъап сюнгери;Губка для чистки обуви
Тиш пастасы;Зубная паста
Тиш чёткюси;Зубная щётка
Амам лифи;Мочалка
Ювуджы васта;Моющее средство
Къокъулы сабун;Мыло туалетное
Чамашыр сабуны;Мыло хозяйственное
Сабунлыкъ;Мыльница
Беязлаштырыджы;Отбеливатель
Бир керелик къолчакъ;Одноразовые перчатки
Резина къолчакъ;Резиновые перчатки
Леген;Таз
Кенеф кягъыты;Туалетная бумага
Шампунь;Шампунь
Швабра;Швабра
Къуруджылыкъ мальземелери;Строительные материалы
Чаталчыкъ;Вилка
Сенек;Вилы
Сёндюргич;Выключатель
Мых;Гвоздь
Тырнавуч;Грабли
Къапы килити;Дверной замок
Кириш къапысы;Входная дверь
Ашхане къапысы;Кухонная дверь
Одаларара къапысы;Межкомнатная дверь
Демир къапы;Железная дверь
Агъач къапы;Деревянная дверь
Джам къапы;Стеклянная дверь
Гизли къапы;Секретная дверь
Тахта;Доска
Килит;Замок
Киреч;Известь
Алет;Инструмент
Къабурчакъ ташы;Камень-ракушечник
Кафель;Кафель
Анахтар;Ключ
Фырчы;Кисть
Туткъал;Клей
Муслукъ;Кран
Къурна;Кран
Къурнасы;Кран водопроводный
Сув муслугъы;Кран водопроводный
Ягъ боя;Масляная краска
Акрил боя;Акриловая краска
Тенеке;Кровельное железо
Токъмакъ;Кувалда
Кересте;Лес строительный
Къол пычкъысы;Лобзик
Лескер;Лопата
Курек;Лопата
Чёкюч;Молоток
Эгев;Напильник
Обой винил;Обои виниловые
Обой боялыкъ;Обои под покраску
Обой ресимли;Обои с рисунком
Дивар кягъыты винил;Обои виниловые
Дивар кягъыты боялыкъ;Обои под покраску
Дивар кягъыты ресимли;Обои с рисунком
Бургъуч;Отвёртка
Алмаштыргъыч;Переключатель
Къум;Песок
Пычкъы;Пила
Пычма материаллар;Пиломатериалы
Пиляки;Плитка
Тёшеме таш;Плитка
Кельпеден;Плоскогубцы
Тапа;Пробка
Тель;Провод
Эренде;Рубанок
Джам;Стекло
Сайгъыч;Счётчик
Электрик сайгъычы;Счётчик электрический
Газ сайгъычы;Счётчик газовый
Сув сайгъычы;Счётчик на воду
Балта;Топор
Къайракъташ;Точильный камень
Челик бору;Стальная труба
Пластик бору;Пластиковая труба
Иситюв борусы;Отопительная труба
Сув борусы;Водопроводная труба
Газ борусы;Газовая труба
Ягъмур борусы;Водосточная труба
Чакъыл;Щебень
Техника;Техника
Манъа эки дане 60 ваттлыкъ лампачыкъ керек;Мне нужны две лампочки на 60 ватт
Бу, бозукътыр;Это сломано
Сизинъдже, бу тамир этилип олурмы?;Думаете, это можно отремонтировать?
Бу мал кефалетлими?;На этот товар есть гарантия?
Тамиринъизге кефалет бересинъизми?;Вы даете гарантию на ремонт?
Тамир не къадар девам этер?;Сколько времени займет ремонт?
Шимди тамир этип олурсынъызмы?;Вы можете сделать ремонт при мне?
Буны насыл къулланмакъ керек олгъаныны косьтерсенъиз;Покажите, как этим пользоваться
Батарейка;Батарейка
Аваландыргъыч;Вентилятор
Кефалет;Гарантия
Фурун;Духовка
Компьютер;Компьютер
Лампачыкъ;Лампочка
Къарыштыргъыч;Миксер
Къулакълыкъ;Наушники
Ноутбук;Ноутбук
Къыздыргъыч;Обогреватель
Планшет;Планшет
Плеер;Плеер
Савут ювуджы машна;Посудомоечная машина
USB тели;USB-провод
HDMI тели;HDMI-провод
Тозъютар;Пылесос
Ярыкъдиод лампачыгъы;Светодиодная лампочка
Система болюги;Системный блок
Чамашыр машнасы;Стиральная машина
Телевизор;Телевизор
Утю;Утюг
Фен;Фен
Фенер;Фонарик
Буздолап;Холодильник
Сувуткъыч;Холодильник
Чайник;Чайник
Чалар саат;Будильник
Къол сааты;Ручные часы
Дивар сааты;Настенные часы
Тикиш машнасы;Швейная машинка
Сач машасы;Щипцы для волос
Электрик устра;Электробритва
Электрон китап;Электронная книга
Электрик къыздырыджы;Электрообогреватель
Аш;Питание
Емек;Питание
Аш;Еда
Емек;Еда
Ачсынъызмы?;Вы проголодались?
Ач олдым;Я проголодался
Мен ачым;Я голодный
Мен ач дегилим;Я не голодный
Мен ич бир шей ашамагъа истемейим;Я вообще ничего не хочу кушать
Мен бир шей ашар эдим;Я бы что-нибудь съел
Ашайджагъым келе;Я хочу есть
Олар сувсагъан;Они хотят пить
Саба емегини не вакъыт ашадынъыз?;Когда вы завтракали?
Пек эрте;Очень рано
Пек кеч;Очень поздно
Ашайыкъмы?;Покушаем?
Не ашайджакъсынъыз?;Что вы будете есть?
Не ичеджексинъиз?;Что вы будете пить?
Къавехане, ресторан;Кафе, ресторан
Къайда барайыкъ?;Куда мы пойдем?
Бир фикрим бар;У меня есть идея
Ресторангъа барайыкъ;Давай пойдем в ресторан
Авропа ресторанына барайыкъ;Пойдём в европейский ресторан
Индистан ресторанына барайыкъ;Пойдём в индийский ресторан
Къырымтатар ресторанына барайыкъ;Пойдём в крымскотатарский ресторан
Рус ресторанына барайыкъ;Пойдём в русский ресторан
Япон ресторанына барайыкъ;Пойдём в японский ресторан
Бу ерге якъын къавехане бармы?;Где тут поблизости кафе?
Шейх-Эли къавеханесинде отурып ашайыкъмы?;Пойдем пообедаем в кафе Шейх-Эли?
Бу къавеханени бегенем;Мне нравится это кафе
Бу къавеханенинъ хош муити бар;В этом кафе приятная атмосфера
Бу къавеханенинъ ичериси дюльбер;В этом кафе красивый интерьер
Саиплери бу ресторанны джан-юректен безеткенлер;Хозяева оформили этот ресторан с душой
Сымарламадыкъ;Мы не бронировали
Айыртмадыкъ;Мы не бронировали
Мен масаны эвельден сымарладым;Я забронировал столик
Къайда отурмагъа истейсинъиз?;Куда вы хотите сесть?
Мен кунешли бир ерде отурмакъ истейим;Я хочу сесть на солнце
Иклимлендиргичтен узакъча отурмакъ истейим;Я хочу сесть подальше от кондиционера
Пенджере янында отурмагъа истейим;Я хочу сесть у окна
Мен манзаралы бир ерде отурмагъа истейим;Я хочу сесть в месте с хорошим видом
Тышарыда отурмагъа истейим;Я хочу сесть снаружи
Мында отурмагъа истемейим;Я не хочу сюда садиться
Буюрынъыз, динълейим;Пожалуйста
Сымарыш яптынъызмы?;Вы сделали заказ?
Сымарыш яптыкъ;Мы сделали заказ
Меню алып кельсенъиз;Принесите, пожалуйста, меню
Не истейсинъиз?;Что бы вы хотели?
Не ичерсинъиз?;Что будете пить?
Бир къаве, лютфен;Кофе, пожалуйста
Нелер бар?;Что у вас есть?
Сиз не тевсие этерсинъиз?;Что вы порекомендуете?
Биз ашыкъамыз;Мы торопимся
Башкъа бир шей бармы?;Что ещё у вас есть?
Бу не?;Что это?
Ягълы олмагъан нелер бар?;Что у вас есть нежирное?
Ичинде не бар?;Что внутри?
Бу, неден пиширильген?;Из чего это сделано?
Бу емекте джевиз бармы?;В этом блюде есть орехи?
Менде джевиз аллергиясы бар;У меня аллергия на орехи
Мен айнысыны алырым;Я закажу то же самое
Стул алып келинъиз;Принесите стул
Скемле алып келинъиз;Принесите стул
Къашыкъ алып келинъиз;Принесите ложку
Санчкъы алып келинъиз;Принесите вилку
Ягъ алып келинъиз;Принесите масло
Бибер алып келинъиз;Принесите перец
Туз алып келинъиз;Принесите соль
Сув алып келинъиз;Принесите воду
Чай алып келинъиз;Принесите чай
Тепси денъиштиринъиз;Поменяйте, пожалуйста, тарелку
Тарелка денъиштиринъиз;Поменяйте, пожалуйста, тарелку
Санчкъы денъиштиринъиз;Поменяйте, пожалуйста, вилку
Стакан денъиштиринъиз;Поменяйте, пожалуйста, стакан
Лютфен, бир мерджимек шорбасы ве сарма;Мне, пожалуйста, чечевичный суп и сарму
Сымарышыма зарзават салатасыны къошмакъ истейим;Я бы хотел добавить к заказу овощной салат
Не къадар беклейджекмиз?;Сколько нам ждать?
Не заман азыр олур?;Когда будет готово?
Эт 20-25 дакъкъадан азыр олур;Мясо будет готово через 20-25 минут
Бекленъиз, лютфен;Подождите, пожалуйста
Туз алып кельсенъиз;Принесите, пожалуйста, соль
Шимди кетиреджем;Сейчас принесу
Татлылардан бир шейлер истейсинъизми?;Хотите что-нибудь на десерт?
Дондурманъыз ненен?;С чем у вас есть мороженое?
Джилекли дондурма бар;Мороженое есть с клубникой
Саде дондурма бар;Мороженое есть простое
Шоколадлы дондурма бар;Мороженое есть с шоколадом
Бананлы дондурма бар;Мороженое есть с бананом
Къавели дондурма бар;Мороженое есть с кофе
Фыстыкълы дондурма бар;Мороженое есть с фисташками
Сютлю дондурма бар;Мороженое есть молочное
Балалар ичюн бир шей бармы?;Есть что-нибудь для детей?
Сувны бираз исите билирсинъизми?;Не могли бы вы подогреть немного воду?
Пек сувукъ;Очень холодный
Исси;Тёплый
Джыллы;Тёплый
Чайны фильджандамы, демликтеми истейсинъиз?;Вы хотите чай в чашке или в чайнике?
Шекерли олсунмы?;Вы хотите с сахаром?
Даа бир шей истейсинъизми?;Вы хотите чтонибудь еще?
Ёкъ, сагъ олунъыз;Нет, спасибо
Мен тойдым;Я наелся
Мен тоймадым;Я не наелся
Бегендинъизми?;Вам понравилось?
Пек лезетли;Очень вкусно
Эр шей пек лезетли эди;Всё было очень вкусно
Ойле пек бегенмедим;Мне не очень понравилось
Пек аджджы;Очень острый
Пек татлы;Очень сладкий
Бираз экши;Немного кислый
Фена дегиль;Неплохой
Бакълава пек лезетли!;Такая вкусная пахлава!
Эсапны алып кельсенъиз;Принесите счёт, пожалуйста
Картанен одемек мумкюнми?;Можно оплатить картой?
Тек накъытнен одемек мумкюн;Оплата только наличными
Къавелик къалдырмакъ;Оставить чаевые
Меним парам ёкъ;У меня нет денег
Кенеф къайда?;Где туалет?
Бир даа келинъиз;Приходите ещё
Къаве;Кофе
Фастфуд;Фастфуд
Бир ерде тез къапынмакъ керек;Надо где-то быстро перекусить
Бирер къаве алайыкъмы?;Давай возьмём кофе?
Лимонад алайыкъ;Давай возьмём лимонад
Токъталыш янында шаурма къулюбеси бар;У остановки есть палатка с шаурмой
Токъталыш янында хот-дог къулюбеси бар;У остановки есть палатка с хот-догами
Токъталыш янында отьмек къулюбеси бар;У остановки есть палатка с выпечкой
Токъталыш янында чырлама къулюбеси бар;У остановки есть палатка с блинами
Токъталыш янында бургер къулюбеси бар;У остановки есть палатка с бургерами
Ана анда лезетли чиберек пишерелер;Вон там готовят вкусные чебуреки
Эки чиберек ве бир самса берсенъиз;Пожалуйста, два чебурека и самсу
Тавукъ самсасы берсенъиз;Пожалуйста, самсу с курицей
Тазе вишнели эки отьмечик берсенъиз;Дайте две булочки со свежей вишней, пожалуйста
Мында ашайджакъсызмы, алып кетеджексизми?;Вам здесь или с собой?
Мында ичеджексизми, алып кетеджексизми?;Вам здесь или с собой?
Алып кетмек ичюн саргъылайыммы?;Вам упаковать с собой?
Бир борекни шимди ашайджам, башкъасыны алып кетеджем;Один пирожок съем сейчас, а один с собой
Алып кетмек ичюн бир шаурма берсенъиз;Пожалуйста, одну шаурму с собой
Къаве ал!;Кофе с собой!
Манъа къара къаве пиширинъиз;Сделайте мне чёрный кофе
Манъа сютлю къаве пиширинъиз;Сделайте мне кофе с молоком
Манъа американо пиширинъиз;Сделайте мне американо
Манъа эспрессо пиширинъиз;Сделайте мне эспрессо
Манъа капуччино пиширинъиз;Сделайте мне капуччино
Эки американо ве бир капуччино пиширсенъиз;Два американо и один капучино, пожалуйста
Нане шербетли латте пишире билесизми?;Можете сделать латте с мятным сиропом?
Стакан ичюн бир манжет берсенъиз;Дайте, пожалуйста, манжет для стакана
Даа бир шейлер алырсызмы?;Возьмёте что-то ещё?
Ёкъ, олды;Нет, это всё
Насыл къаве ичесинъиз: къаймакълымы, къарамы?;Вам кофе с молоком или черный?
Шимди софра башындан турдым;Я только что встал из-за стола
Пек лезетли! Буны насыл этип пиширесиз?;Это потрясающе вкусно! Как вы это готовите?
Даа алынъыз!;Берите, пожалуйста, ещё!
Салата истейсинъми?;Хочешь салата?
Санъа не къояйым?;Что тебе положить?
Санъа тавукъ къояйыммы?;Положить тебе курицу?
Къанат я да саныны истейсинъми?;Ты хочешь крыло или бедро?
Манъа диетик бир шей бере билесинъизми?;Можно мне что-нибудь диетическое?
Бир тарелка шорба;Тарелка супа
Къаве ичемиз;Мы пьём кофе
Афиетлер олсун!;Пейте на здоровье!
Аш олсун!;На здоровье!
Аш пиширюв;Готовка
Манъа сабалыкъ азырла;Приготовь мне завтрак
Саба йымшакъ пишкен йымырта ашап какао ичмеге бегенем;Я люблю на завтрак есть яйца всмятку и пить горячий какао
Фурунда пиширильген патылджан бегенем;Я люблю запечённые баклажаны
Къавурылгъан къартоп бегенем;Люблю жареную картошку
Ягълы тост ашайым;Я ем тост с маслом
Отьмекни куфь басты;Хлеб заплесневел
Экинди ашы пиширем;Я готовлю полдник
Къашкъавал ве колбаснен бутерброд япам;Я делаю бутерброды с сыром и колбасой
Бутюн кунь оджакъ башында турып аш пиширем;Я весь день стою у плиты и готовлю еду
Ювунакъта савутларны ювмакъ;Мыть посуду в раковине
Хамыр джаймакъ;Раскатать тесто
Окълавнен хамыр джаям;Скалкой раскатываю тесто
Сютни яваш-яваш тёкип, йымырта телинен атлайым;Медленно вливаю молоко и взбиваю венчиком
Себзе къарыштырам;Перемешиваю овощи
Лимонны тилимлейим;Лимон нарезаю ломтиками
Мен бореклер пиширдим;Я испекла пирожки
Кобете пиширмек;Печь кобете
Чиберек осюмлик ягъы ичинде тавада пишириле;Чебуреки жарят на сковородке в растительном масле
Этни фурунда пиширмек;Запечь мясо в духовке
Балыкъны фурунда пиширмек;Приготовить рыбу в духовке
Шорба пиширмек;Сварить суп
Себзе дымламакъ;Тушить овощи
Тюбю янмасын деп тосат-тосат къарыштырмакъ;Временами помешивать, чтобы не пригорело
Агъыр атеште къайнатмакъ;Варить на медленном огне
Аш агъыр атеште къайнап тура;Блюдо кипит на медленном огне
Он беш дакъкъа къайнасын;Пусть варится 15 минут
Сув къайнап биткен;Вся вода выкипела
Копюкни сюзип алмакъ;Снять пену
Бугунь не пиширирсинъ?;Что ты будешь сегодня готовить?
Биринджи емек шорба олур, сонъ сарма, ве десерт оларакъ – хошаф;Первым блюдом будет суп, вторым – сарма, а на десерт – компот
Бизге шорбалыкъ хавуч ве памидор керек;Нам нужна морковь и помидоры для супа
Бизге даа не керек?;Что ещё нам нужно?
Бизге отьмек ве пирнич керек;Нам нужен хлеб и рис
Джилегим бар;У меня есть клубника
Себзелерни ювмакъ;Помыть овощи
Мейва юв;Помой фрукты
Себзе юв;Помой овощи
Ешиллик юв;Помой зелень
Манъа ярдым эт;Помоги мне
Артла къартоп;Почисти картошку
Согъан;Почисти лук
Бибер;Почисти перец
Чюкюндир;Почисти свёклу
Къартоп артлайыммы?;Мне почистить картошку?
Емишлерни къабугъындан артлайым;Я чищу фрукты от кожуры
Туруп эренделемек;Натереть на тёрке редьку
Согъан догърайыммы?;Мне порезать лук?
Къартопны индже тилимлернен догърамакъ;Нарезать картошку тонкими ломтиками
Къартоп козьчиклерини кесип алмакъ;Срезать глазки с картошки
Парчаламакъ;Разрезать на куски
Этни парчаламакъ;Разрезать мясо на куски
Отьмек тилимлемек;Нарезать хлеб
Къыйма чекмек;Сделать фарш
Чайникке сув къой;Налей в чайник воды
Мешребеме чай къой;Налей мне чай в кружку
Балыкъны бу тавада къавурасынъмы?;Ты жаришь рыбу на этой сковородке?
Шорбаны бу къазанда пиширесинъми?;Ты варишь суп в этой кастрюле?
Банка ичюн ачкъычынъ бармы?;У тебя есть открывалка для банок?
